iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.07754e-01,4.39771e-01,1.49570e+02,1.05442e+01
2.00000e+02,1.08423e+00,5.57688e-01,1.71239e+02,2.01091e+01
3.00000e+02,6.89173e-01,3.13494e-01,1.76572e+02,5.15665e+00
4.00000e+02,8.44045e-01,3.06796e-01,4.00786e+02,1.08520e+01
5.00000e+02,8.68577e-01,2.52150e-01,-3.66713e+02,8.81313e+00
6.00000e+02,6.15769e-01,2.44402e-01,1.45071e+02,6.37490e+00
7.00000e+02,6.65142e-01,2.23714e-01,-1.01942e+01,1.00599e+01
8.00000e+02,4.91672e-01,2.04000e-01,2.53247e+02,1.21786e+00
9.00000e+02,5.60600e-01,2.46591e-01,-2.06786e+02,4.46555e+00
1.00000e+03,7.23286e-01,2.24440e-01,1.35681e+02,6.81917e+00
1.10000e+03,3.51667e-01,2.08560e-01,2.24438e+01,3.52736e+00
1.20000e+03,3.59078e-01,1.94023e-01,-9.11586e+01,2.38727e+00
1.30000e+03,2.31847e-01,9.64412e-02,6.46675e+01,2.25069e+00
1.40000e+03,2.23872e-01,9.70032e-02,1.40028e+02,1.25497e+00
1.50000e+03,1.61843e-01,7.03015e-02,-1.08374e+01,8.18637e-01
1.60000e+03,1.43984e-01,4.99932e-02,1.12950e+00,1.14908e+00
1.70000e+03,8.30528e-02,3.14264e-02,-2.51610e+01,6.66243e-01
1.80000e+03,1.08259e-01,2.84915e-02,1.63724e+01,4.02394e-01
1.90000e+03,1.04248e-01,3.85532e-02,4.00493e+00,1.56687e-01
2.00000e+03,7.55640e-02,2.91042e-02,2.50075e+01,2.72201e-01
2.10000e+03,7.57898e-02,3.42706e-02,3.24960e+01,1.98931e-01
2.20000e+03,6.93279e-02,3.23712e-02,3.19015e+01,1.70030e-01
2.30000e+03,5.68102e-02,2.41514e-02,2.51285e+01,2.05553e-01
2.40000e+03,2.47212e-02,1.28748e-02,4.46222e+01,1.96634e-01
2.50000e+03,6.04134e-02,1.61379e-02,4.66365e+01,3.47276e-01
2.60000e+03,3.17029e-02,7.89667e-03,3.43169e+01,2.48402e-01
2.70000e+03,3.61179e-02,1.02208e-02,5.57460e+01,1.71433e-01
2.80000e+03,2.77336e-02,9.72301e-03,4.24946e+01,7.08232e-02
2.90000e+03,3.94898e-02,1.26235e-02,6.09957e+01,1.23909e-01
3.00000e+03,4.27580e-02,1.43742e-02,6.88477e+01,1.54477e-01
3.10000e+03,4.82799e-02,1.52491e-02,9.39303e+01,8.59133e-02
3.20000e+03,4.69680e-02,2.27340e-02,1.12430e+02,2.16789e-01
3.30000e+03,3.84282e-02,1.91749e-02,2.31301e+02,1.86015e-01
3.40000e+03,3.25331e-02,9.07679e-03,2.10243e+02,1.36099e-01
3.50000e+03,6.57329e-02,2.26240e-02,2.03427e+02,2.63862e-01
3.60000e+03,3.62540e-02,1.56965e-02,1.99308e+02,2.97336e-01
3.70000e+03,3.53048e-02,1.70572e-02,1.94913e+02,1.76214e-01
3.80000e+03,3.01693e-02,1.00092e-02,2.01555e+02,1.20040e-01
3.90000e+03,2.91209e-02,8.72000e-03,1.58971e+02,6.34995e-02
4.00000e+03,2.59686e-02,1.10869e-02,1.40441e+02,1.37625e-01
4.10000e+03,1.69247e-02,5.84195e-03,1.56888e+02,1.67876e-01
4.20000e+03,2.05485e-02,9.59040e-03,5.41851e+01,1.73110e-01
4.30000e+03,1.73476e-02,6.07033e-03,6.13135e+01,1.23266e-01
4.40000e+03,2.42262e-02,9.35236e-03,-7.01128e+00,5.89218e-02
4.50000e+03,3.70819e-02,1.02939e-02,-1.48862e+01,1.13149e-01
4.60000e+03,3.38556e-02,1.24533e-02,-3.42068e+01,1.24709e-01
4.70000e+03,5.65860e-02,1.41824e-02,-7.88221e+01,2.41330e-01
4.80000e+03,4.98740e-02,1.92016e-02,-1.71590e+02,1.63997e-01
4.90000e+03,4.98254e-02,2.13656e-02,-1.29105e+02,1.87046e-01
5.00000e+03,6.18001e-02,2.46843e-02,-6.89123e+01,4.99756e-01
5.10000e+03,3.19294e-02,1.18882e-02,-1.19181e+02,8.80876e-02
5.20000e+03,1.77007e-02,6.26673e-03,-2.41493e+02,1.31556e-01
5.30000e+03,4.28617e-02,1.44039e-02,-2.69417e+02,3.16213e-01
5.40000e+03,5.51165e-02,2.72200e-02,-2.27490e+02,2.03456e-01
5.50000e+03,1.03870e-01,2.76938e-02,-1.49630e+02,3.31425e-01
5.60000e+03,1.28598e-01,3.83212e-02,-1.61282e+02,4.80168e-01
5.70000e+03,9.36740e-02,3.27243e-02,-2.44261e+02,3.35012e-01
5.80000e+03,4.63430e-02,1.78571e-02,-1.44492e+02,1.59833e-01
5.90000e+03,6.14535e-02,3.47023e-02,-1.50228e+02,3.60246e-01
6.00000e+03,4.90360e-02,1.42290e-02,-1.44959e+02,7.25918e-02
6.10000e+03,4.40667e-02,1.54140e-02,-8.85463e+01,1.23217e-01
6.20000e+03,4.00879e-02,1.50988e-02,-7.69113e+01,5.62145e-02
6.30000e+03,2.49211e-02,1.11565e-02,-4.82738e+01,1.03778e-01
6.40000e+03,2.92230e-02,1.16383e-02,-5.28591e+01,1.04310e-01
6.50000e+03,2.51222e-02,8.35281e-03,-2.26194e+01,1.64122e-01
6.60000e+03,1.75617e-02,6.82761e-03,-1.59125e+01,8.90211e-02
6.70000e+03,1.98584e-02,9.80705e-03,4.30760e+01,8.12500e-02
6.80000e+03,1.67076e-02,7.36275e-03,7.87367e+01,9.96821e-02
6.90000e+03,1.80809e-02,8.88262e-03,1.06188e+02,2.03450e-01
7.00000e+03,1.89713e-02,5.48260e-03,1.06036e+02,1.04367e-01
7.10000e+03,1.96083e-02,8.39136e-03,1.45312e+02,6.65504e-02
7.20000e+03,1.79315e-02,7.69781e-03,1.80964e+02,7.48097e-02
7.30000e+03,2.56983e-02,1.21558e-02,2.01926e+02,1.13607e-01
7.40000e+03,1.44002e-02,6.39125e-03,2.04456e+02,5.14894e-02
7.50000e+03,2.08060e-02,8.59269e-03,2.34868e+02,7.91357e-02
7.60000e+03,1.09191e-02,5.67721e-03,2.58704e+02,2.73818e-01
7.70000e+03,2.74745e-02,1.29980e-02,2.60336e+02,1.80551e-01
7.80000e+03,1.71519e-02,6.30830e-03,2.67954e+02,1.23990e-01
7.90000e+03,2.33835e-02,1.19413e-02,2.54974e+02,1.17983e-01
8.00000e+03,1.00155e-02,2.52727e-03,2.67187e+02,1.36916e-01
8.10000e+03,1.90180e-02,1.01100e-02,2.70157e+02,2.22843e-01
8.20000e+03,1.00076e-02,4.45953e-03,2.75963e+02,1.29932e-01
8.30000e+03,1.61616e-02,7.52976e-03,2.96388e+02,1.16534e-01
8.40000e+03,2.44914e-02,8.22585e-03,3.00937e+02,6.53882e-02
8.50000e+03,3.52300e-02,1.55999e-02,2.89294e+02,2.95570e-01
8.60000e+03,2.19634e-02,1.10606e-02,2.54454e+02,1.57435e-01
8.70000e+03,5.00540e-02,2.39223e-02,2.77059e+02,2.43812e-01
8.80000e+03,2.38058e-02,7.20442e-03,2.41540e+02,1.50089e-01
8.90000e+03,1.89584e-02,7.30707e-03,2.52329e+02,9.81560e-02
9.00000e+03,2.98565e-02,9.86011e-03,2.89710e+02,2.80072e-01
9.10000e+03,8.37431e-03,3.98200e-03,2.40440e+02,8.59440e-02
9.20000e+03,2.64653e-02,1.09700e-02,2.57668e+02,1.22926e-01
9.30000e+03,1.54613e-02,5.85700e-03,2.17550e+02,2.52163e-01
9.40000e+03,3.47948e-02,1.26895e-02,2.27906e+02,1.16113e-01
9.50000e+03,2.26179e-02,8.50604e-03,2.22266e+02,1.20823e-01
9.60000e+03,1.36580e-02,4.47557e-03,2.09783e+02,4.24381e-02
9.70000e+03,2.06200e-02,6.87231e-03,2.12173e+02,8.29557e-02
9.80000e+03,1.96717e-02,6.25110e-03,2.02257e+02,1.60432e-01
9.90000e+03,1.78369e-02,6.37190e-03,1.99784e+02,7.77436e-02
