iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.13546e-01,4.42827e-01,5.74014e+01,1.11612e+01
2.00000e+02,8.36343e-01,2.71770e-01,2.41754e+02,1.04883e+01
3.00000e+02,5.75300e-01,2.61737e-01,-4.42609e+01,5.57130e+00
4.00000e+02,3.53145e-01,1.65070e-01,-4.86490e+01,4.33517e+00
5.00000e+02,7.61723e-01,1.90658e-01,4.16020e+01,4.75336e+00
6.00000e+02,7.57518e-01,3.12290e-01,2.77204e+02,3.84447e+00
7.00000e+02,5.96511e-01,2.24749e-01,-3.80560e+02,5.57242e+00
8.00000e+02,4.86325e-01,2.17095e-01,-3.23758e+02,2.69544e+00
9.00000e+02,3.55748e-01,1.44960e-01,2.69252e+02,3.34267e+00
1.00000e+03,2.77941e-01,1.10572e-01,4.87107e+01,2.01377e+00
1.10000e+03,3.34669e-01,1.11631e-01,-9.40520e-01,1.23106e+00
1.20000e+03,1.77463e-01,8.20569e-02,5.68889e+00,7.43337e-01
1.30000e+03,7.54564e-02,4.35535e-02,-3.35880e+01,3.81217e-01
1.40000e+03,1.15980e-01,3.43000e-02,-2.62503e+01,2.69933e-01
1.50000e+03,8.34662e-02,3.17602e-02,6.13077e-01,2.65719e-01
1.60000e+03,4.25852e-02,1.86705e-02,1.29974e+01,2.42748e-01
1.70000e+03,4.19454e-02,2.02126e-02,-1.21429e+01,3.58735e-01
1.80000e+03,4.14699e-02,1.88365e-02,-5.94019e+00,2.68119e-01
1.90000e+03,2.78453e-02,1.22277e-02,1.93620e+01,2.66346e-01
2.00000e+03,5.53771e-02,1.50248e-02,8.88383e+00,3.33403e-01
2.10000e+03,4.35822e-02,1.25317e-02,3.40650e+01,3.71861e-01
2.20000e+03,3.28917e-02,8.12970e-03,-1.47560e+01,1.60141e-01
2.30000e+03,3.51528e-02,1.44672e-02,1.04805e+01,7.00353e-02
2.40000e+03,2.88623e-02,1.45617e-02,2.78689e+00,1.25570e-01
2.50000e+03,3.76776e-02,1.69377e-02,2.99185e+01,1.56992e-01
2.60000e+03,3.70193e-02,1.53464e-02,3.75780e+01,1.47611e-01
2.70000e+03,3.10339e-02,1.72029e-02,2.36921e+01,2.61539e-01
2.80000e+03,1.86457e-02,8.49658e-03,3.58483e+01,2.21229e-01
2.90000e+03,1.76422e-02,8.42885e-03,3.29463e+01,1.38305e-01
3.00000e+03,2.56301e-02,1.35501e-02,3.88324e+01,1.61640e-01
3.10000e+03,2.17383e-02,9.65072e-03,5.64363e+01,1.08456e-01
3.20000e+03,3.70104e-02,1.61303e-02,6.14995e+01,1.23061e-01
3.30000e+03,2.47690e-02,1.11786e-02,8.51874e+01,7.86065e-02
3.40000e+03,1.65441e-02,8.95228e-03,9.82205e+01,3.29396e-01
3.50000e+03,3.18365e-02,1.22509e-02,7.50706e+01,3.33416e-01
3.60000e+03,2.37810e-02,1.08001e-02,1.19980e+02,2.86306e-01
3.70000e+03,2.77772e-02,9.97937e-03,1.26607e+02,2.73932e-01
3.80000e+03,2.59910e-02,1.37423e-02,9.08065e+01,1.32220e-01
3.90000e+03,1.56085e-02,6.32238e-03,5.35398e+01,2.05518e-01
4.00000e+03,3.90671e-02,1.75239e-02,-1.10449e+02,2.20672e-01
4.10000e+03,2.34646e-02,9.17087e-03,-1.08262e+02,5.73282e-02
4.20000e+03,3.05304e-02,1.11297e-02,-9.05996e+01,2.60836e-01
4.30000e+03,3.13712e-02,1.81884e-02,-6.28289e+01,9.44616e-02
4.40000e+03,5.44899e-02,3.10394e-02,-1.75230e+02,1.86856e-01
4.50000e+03,5.11592e-02,1.72493e-02,-2.04746e+02,2.07950e-01
4.60000e+03,5.06870e-02,1.51152e-02,-2.30285e+02,1.70194e-01
4.70000e+03,3.21340e-02,9.98689e-03,-3.19911e+02,1.23184e-01
4.80000e+03,4.46977e-02,1.71575e-02,-2.88324e+02,1.45703e-01
4.90000e+03,4.91579e-02,1.98868e-02,-3.85291e+02,1.26886e-01
5.00000e+03,2.41920e-02,8.14340e-03,-4.07528e+02,1.52919e-01
5.10000e+03,5.12828e-02,1.94132e-02,-4.33501e+02,2.22074e-01
5.20000e+03,3.18973e-02,1.44661e-02,-4.27032e+02,9.53326e-02
5.30000e+03,2.56920e-02,1.07276e-02,-4.29084e+02,2.46691e-01
5.40000e+03,1.65812e-02,1.08173e-02,-5.34712e+02,1.60582e-01
