iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,9.07778e-01,4.40875e-01,1.74447e+02,1.05229e+01
2.00000e+02,1.07586e+00,5.50605e-01,2.22540e+02,1.44718e+01
3.00000e+02,6.16690e-01,2.78121e-01,3.51296e+02,5.02864e+00
4.00000e+02,9.71504e-01,3.22904e-01,8.44940e+01,8.41030e+00
5.00000e+02,9.21096e-01,3.56218e-01,2.31545e+02,6.58906e+00
6.00000e+02,6.22347e-01,2.30982e-01,2.99341e+02,4.10411e+00
7.00000e+02,7.99531e-01,3.30807e-01,2.20037e+02,1.13473e+01
8.00000e+02,3.50301e-01,1.39267e-01,-1.36424e+01,2.13400e+00
9.00000e+02,2.31029e-01,8.35253e-02,1.80251e+01,1.27754e+00
1.00000e+03,1.64384e-01,1.03461e-01,1.65462e+01,1.18227e+00
1.10000e+03,3.54720e-01,1.26883e-01,-3.79360e+01,2.15150e+00
1.20000e+03,7.57031e-01,2.49798e-01,-7.70555e+01,6.14360e+00
1.30000e+03,5.43043e-01,2.28447e-01,-6.33938e+01,3.09207e+00
1.40000e+03,2.35998e-01,1.34194e-01,-1.43828e+01,1.04905e+00
1.50000e+03,1.77676e-01,9.03431e-02,-5.55852e+00,6.22486e-01
1.60000e+03,8.55139e-02,4.73460e-02,3.46766e+01,3.63329e-01
1.70000e+03,1.80090e-01,6.39106e-02,1.06278e+01,4.65087e-01
1.80000e+03,1.27759e-01,3.41254e-02,3.41779e+01,5.84589e-01
1.90000e+03,1.07155e-01,3.22492e-02,3.87745e+01,2.45639e-01
2.00000e+03,1.05280e-01,4.03693e-02,5.59413e+01,4.12240e-01
2.10000e+03,8.24544e-02,3.80793e-02,3.03965e+01,1.36951e-01
2.20000e+03,5.24981e-02,2.53412e-02,4.36696e+01,1.20020e-01
2.30000e+03,4.54321e-02,1.50526e-02,3.04728e+01,9.09135e-02
2.40000e+03,6.64469e-02,1.86938e-02,5.10857e+01,1.98874e-01
2.50000e+03,3.29156e-02,1.29112e-02,5.73619e+01,1.04370e-01
2.60000e+03,4.73901e-02,2.30354e-02,7.98702e+01,2.92004e-01
2.70000e+03,2.08285e-02,7.93977e-03,4.59001e+01,3.45823e-01
2.80000e+03,2.96677e-02,1.18385e-02,6.80649e+01,3.50798e-02
2.90000e+03,3.99562e-02,1.84666e-02,8.79524e+01,1.67001e-01
3.00000e+03,1.94168e-02,9.19776e-03,1.09779e+02,1.55616e-01
3.10000e+03,1.63057e-02,8.35614e-03,1.24236e+02,1.43700e-01
3.20000e+03,2.05104e-02,7.25194e-03,1.25593e+02,7.48587e-02
3.30000e+03,3.02032e-02,1.07880e-02,2.14703e+02,9.74983e-02
3.40000e+03,2.09170e-02,8.63084e-03,1.96611e+02,2.09845e-01
3.50000e+03,3.67782e-02,9.87207e-03,1.87647e+02,1.15615e-01
3.60000e+03,4.28339e-02,1.57363e-02,2.17630e+02,1.14737e-01
3.70000e+03,1.54056e-02,5.54940e-03,2.63206e+02,2.24476e-01
3.80000e+03,2.56957e-02,1.07357e-02,2.07654e+02,2.25666e-01
3.90000e+03,3.05935e-02,1.11255e-02,1.13623e+02,8.41761e-02
4.00000e+03,2.19338e-02,9.23204e-03,7.19036e+01,6.26796e-02
4.10000e+03,2.29915e-02,1.03369e-02,3.85717e+01,1.58747e-01
4.20000e+03,4.15160e-02,1.32327e-02,-2.50999e+00,1.84226e-01
4.30000e+03,4.04748e-02,1.58372e-02,3.03186e-01,2.26768e-01
4.40000e+03,2.67036e-02,1.06840e-02,-1.25457e+01,1.43608e-01
4.50000e+03,1.05844e-02,4.46758e-03,-9.65362e+01,6.51470e-02
4.60000e+03,1.34543e-02,5.76311e-03,-1.47591e+02,1.43416e-01
4.70000e+03,2.64128e-02,1.07678e-02,-1.32778e+02,7.05629e-02
4.80000e+03,1.29697e-02,5.62279e-03,-2.04700e+02,7.40683e-02
4.90000e+03,2.19393e-02,1.06091e-02,-2.81706e+02,7.62431e-02
5.00000e+03,4.41544e-02,1.50186e-02,-2.74842e+02,2.48680e-01
5.10000e+03,2.68897e-02,9.95883e-03,-2.91256e+02,1.51259e-01
5.20000e+03,1.84714e-02,6.54265e-03,-3.64279e+02,8.21122e-02
5.30000e+03,3.62883e-02,1.53183e-02,-3.58096e+02,9.61800e-02
5.40000e+03,2.00941e-02,9.38450e-03,-3.73458e+02,2.02178e-01
5.50000e+03,2.73739e-02,1.14708e-02,-3.32647e+02,1.39289e-01
5.60000e+03,4.33235e-02,1.93065e-02,-3.14027e+02,1.00931e-01
5.70000e+03,6.19236e-02,1.64007e-02,-3.95596e+02,1.82254e-01
5.80000e+03,5.70200e-02,1.73047e-02,-3.30608e+02,1.66908e-01
5.90000e+03,4.27296e-02,1.50077e-02,-3.32797e+02,1.36619e-01
6.00000e+03,2.95616e-02,8.03329e-03,-3.27230e+02,1.49310e-01
6.10000e+03,1.52282e-02,5.07011e-03,-3.04127e+02,1.79106e-01
6.20000e+03,2.24991e-02,6.07798e-03,-2.77035e+02,2.41551e-01
6.30000e+03,1.69962e-02,5.09093e-03,-1.86061e+02,8.33789e-02
6.40000e+03,1.46111e-02,8.92776e-03,-1.61102e+02,1.07212e-01
6.50000e+03,2.01928e-02,8.51188e-03,-1.89969e+02,1.53485e-01
6.60000e+03,2.49043e-02,1.15039e-02,-7.43955e+01,8.95202e-02
6.70000e+03,2.56516e-02,8.68169e-03,-7.66245e+01,1.84033e-01
6.80000e+03,1.76252e-02,7.08203e-03,-7.39686e+01,1.01667e-01
