iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,2.87404e+00,1.37466e+00,1.48025e+02,2.86466e+00
2.00000e+02,2.93223e+00,7.91282e-01,9.08397e+01,2.51231e+00
3.00000e+02,1.90236e+00,6.05330e-01,8.44236e+01,1.75876e+00
4.00000e+02,3.37394e+00,9.85663e-01,5.17881e+01,3.82432e+00
5.00000e+02,1.20288e+00,4.93349e-01,7.56686e+01,1.89523e+00
6.00000e+02,1.62765e+00,5.98536e-01,1.18839e+02,1.63992e+00
7.00000e+02,1.65081e+00,4.44921e-01,5.44137e+01,1.63469e+00
8.00000e+02,6.14978e-01,2.75927e-01,5.74313e+01,5.27292e-01
9.00000e+02,3.79518e-01,1.36573e-01,5.29351e+01,4.68450e-01
1.00000e+03,3.79162e-01,1.17865e-01,6.79214e+01,2.89838e-01
1.10000e+03,6.80497e-01,1.94625e-01,1.02355e+02,5.38615e-01
1.20000e+03,9.86563e-01,2.99351e-01,9.07401e+01,9.66381e-01
1.30000e+03,1.87084e+00,5.65184e-01,9.75431e+01,1.99819e+00
1.40000e+03,4.14184e-01,1.08582e-01,1.13088e+02,3.66426e-01
1.50000e+03,2.12528e-01,1.00294e-01,1.36779e+02,6.49448e-01
1.60000e+03,9.34560e-02,3.46746e-02,1.74621e+02,8.28955e-02
1.70000e+03,1.35378e-01,4.64960e-02,1.67902e+02,9.25120e-02
1.80000e+03,1.85783e-01,8.49361e-02,1.62795e+02,1.79742e-01
1.90000e+03,1.95218e-01,7.65341e-02,1.58275e+02,1.15249e-01
2.00000e+03,2.14967e-01,9.27968e-02,1.04875e+02,1.80775e-01
2.10000e+03,2.72491e-01,1.13068e-01,9.04305e+01,2.15065e-01
2.20000e+03,2.61058e-01,1.07290e-01,8.12607e+01,1.19895e-01
2.30000e+03,2.46119e-01,9.39573e-02,4.89244e+01,1.54780e-01
2.40000e+03,2.88134e-01,1.37317e-01,9.22921e+00,1.99749e-01
2.50000e+03,1.93681e-01,8.59305e-02,1.12443e+01,9.51299e-02
