iteration,mean_tau,std_tau,mean_p,std_p
1.00000e+02,2.89419e+00,1.39918e+00,2.68261e+02,2.79576e+00
2.00000e+02,2.63893e+00,9.03156e-01,2.21657e+02,7.73957e+00
3.00000e+02,1.17189e+00,6.19554e-01,1.73824e+02,8.36135e-01
4.00000e+02,1.37364e+00,4.97912e-01,1.64165e+02,9.70974e-01
5.00000e+02,3.65513e+00,1.16295e+00,1.02027e+02,5.21963e+00
6.00000e+02,1.05619e+00,5.67627e-01,1.59077e+02,1.19739e+00
7.00000e+02,1.33976e+00,5.33051e-01,1.60061e+02,1.18911e+00
8.00000e+02,4.30325e-01,1.80086e-01,1.51584e+02,5.69758e-01
9.00000e+02,2.43713e-01,1.07100e-01,1.63866e+02,1.78242e-01
1.00000e+03,1.95139e-01,8.47248e-02,1.90540e+02,2.07527e-01
1.10000e+03,1.45935e-01,7.65947e-02,1.77953e+02,2.32389e-01
1.20000e+03,2.10134e-01,8.98190e-02,1.99650e+02,1.43631e-01
1.30000e+03,1.55636e-01,7.51200e-02,1.97481e+02,9.52169e-02
1.40000e+03,2.51372e-01,8.82679e-02,2.17017e+02,1.79864e-01
1.50000e+03,3.13772e-01,1.31245e-01,2.51999e+02,2.06483e-01
1.60000e+03,1.67028e-01,1.09546e-01,3.00016e+02,1.52822e-01
1.70000e+03,2.04063e-01,7.59889e-02,3.04882e+02,2.61158e-01
1.80000e+03,1.98437e-01,6.06789e-02,3.10285e+02,1.67537e-01
1.90000e+03,1.51347e-01,4.90778e-02,2.92801e+02,1.40517e-01
2.00000e+03,1.62297e-01,4.07754e-02,2.40961e+02,1.88791e-01
2.10000e+03,2.11007e-01,8.73895e-02,2.11023e+02,1.50950e-01
2.20000e+03,1.79259e-01,5.89682e-02,1.49382e+02,9.43014e-02
2.30000e+03,1.94178e-01,7.32186e-02,1.13966e+02,1.36329e-01
2.40000e+03,1.74134e-01,5.42297e-02,6.23240e+01,1.70209e-01
2.50000e+03,1.89969e-01,7.14466e-02,4.87252e+01,1.13871e-01
2.60000e+03,1.66156e-01,3.91845e-02,1.92938e+01,1.21452e-01
2.70000e+03,2.15578e-01,9.05500e-02,-1.21929e+00,1.37071e-01
2.80000e+03,1.55739e-01,8.18818e-02,1.15765e+01,1.87845e-01
2.90000e+03,2.16821e-01,8.11726e-02,-6.34646e+00,1.22490e-01
3.00000e+03,1.80298e-01,7.38708e-02,5.44324e+01,2.77943e-01
3.10000e+03,1.68256e-01,6.97001e-02,3.65569e+01,1.32385e-01
3.20000e+03,1.25280e-01,5.75479e-02,1.00284e+02,1.02550e-01
3.30000e+03,1.44775e-01,6.92444e-02,1.08335e+02,1.27358e-01
3.40000e+03,1.75202e-01,7.26761e-02,2.04098e+02,1.40620e-01
3.50000e+03,1.69464e-01,4.69059e-02,2.71358e+02,1.36758e-01
3.60000e+03,1.38234e-01,4.43196e-02,2.93361e+02,1.19722e-01
3.70000e+03,9.30036e-02,3.31395e-02,3.46319e+02,8.61713e-02
3.80000e+03,1.18328e-01,4.56757e-02,3.74663e+02,8.68511e-02
3.90000e+03,1.11150e-01,4.18898e-02,3.66232e+02,9.40391e-02
4.00000e+03,5.96603e-02,2.31672e-02,3.99316e+02,2.79435e-01
4.10000e+03,5.39531e-02,2.33816e-02,3.95517e+02,6.87366e-02
4.20000e+03,7.15220e-02,1.88249e-02,3.94534e+02,1.92861e-01
4.30000e+03,6.26786e-02,3.34203e-02,3.82422e+02,1.38594e-01
4.40000e+03,1.07690e-01,3.66853e-02,3.93018e+02,2.21920e-01
4.50000e+03,7.57200e-02,4.08019e-02,3.82033e+02,1.80040e-01
4.60000e+03,8.66548e-02,3.74236e-02,3.31742e+02,8.06935e-02
4.70000e+03,4.45763e-02,1.61495e-02,3.40723e+02,1.08621e-01
4.80000e+03,7.39469e-02,2.23752e-02,3.36719e+02,7.04951e-02
4.90000e+03,5.14034e-02,1.91121e-02,3.15850e+02,1.08244e-01
5.00000e+03,3.64850e-02,9.81031e-03,2.93091e+02,4.07930e-01
5.10000e+03,2.73172e-02,1.14565e-02,2.64676e+02,2.32841e-01
5.20000e+03,4.91928e-02,2.12333e-02,2.25879e+02,3.58638e-01
