 x, y, z, s
   11.6088696     ,   8.52774620     ,   8.47125053     ,   0.00000000    
   11.5986834     ,   8.51653957     ,   8.49696636     ,   2.98442747E-02
   11.5886402     ,   8.50493145     ,   8.52206135     ,   5.92609532E-02
   11.5787411     ,   8.49292946     ,   8.54654026     ,   8.82658958E-02
   11.5689831     ,   8.48053741     ,   8.57040977     ,  0.116875365    
   11.5593662     ,   8.46776390     ,   8.59367561     ,  0.145106643    
   11.5498896     ,   8.45461273     ,   8.61634636     ,  0.172976166    
   11.5405521     ,   8.44109344     ,   8.63842583     ,  0.200498253    
   11.5313511     ,   8.42720985     ,   8.65992260     ,  0.227692485    
   11.5222883     ,   8.41296864     ,   8.68084145     ,  0.254572511    
   11.5133610     ,   8.39837646     ,   8.70118999     ,  0.281155884    
   11.5045691     ,   8.38344002     ,   8.72097397     ,  0.307458103    
   11.4959126     ,   8.36816502     ,   8.74019909     ,  0.333494186    
   11.4873867     ,   8.35255718     ,   8.75887299     ,  0.359281331    
   11.4789944     ,   8.33662415     ,   8.77700043     ,  0.384833276    
   11.4707336     ,   8.32037163     ,   8.79459000     ,  0.410166502    
   11.4626026     ,   8.30380726     ,   8.81164646     ,  0.435294807    
   11.4546013     ,   8.28693390     ,   8.82817650     ,  0.460234344    
   11.4467287     ,   8.26976109     ,   8.84418678     ,  0.484997183    
   11.4389820     ,   8.25229359     ,   8.85968304     ,  0.509599328    
   11.4313631     ,   8.23453808     ,   8.87467289     ,  0.534053087    
   11.4238691     ,   8.21650124     ,   8.88916206     ,  0.558372498    
   11.4164991     ,   8.19818783     ,   8.90315533     ,  0.582569718    
   11.4092541     ,   8.17960644     ,   8.91666222     ,  0.606656790    
   11.4021301     ,   8.16076183     ,   8.92968655     ,  0.630646586    
   11.3951283     ,   8.14166069     ,   8.94223595     ,  0.654549718    
   11.3882475     ,   8.12230873     ,   8.95431709     ,  0.678377926    
   11.3814869     ,   8.10271454     ,   8.96593475     ,  0.702140033    
