t,x,y,z
0.00400,11.20000,5.70000,9.30000
0.00600,11.20000,5.70000,9.29960
0.00800,11.20000,5.70000,9.29910
0.01000,11.20000,5.70000,9.29840
0.01200,11.20000,5.70000,9.29750
0.01400,11.20000,5.70000,9.29630
0.01600,11.20000,5.70010,9.29500
0.01800,11.20000,5.70010,9.29340
0.02000,11.20000,5.70010,9.29170
0.02200,11.20000,5.70010,9.28980
0.02400,11.20000,5.70020,9.28760
0.02600,11.20000,5.70020,9.28530
0.02800,11.20000,5.70020,9.28280
0.03000,11.20000,5.70020,9.28010
0.03200,11.20000,5.70030,9.27720
0.03400,11.20000,5.70030,9.27420
0.03600,11.20000,5.70040,9.27100
0.03800,11.20000,5.70040,9.26760
0.04000,11.20000,5.70050,9.26400
0.04200,11.20000,5.70050,9.26030
0.04400,11.20000,5.70050,9.25640
0.04600,11.20100,5.70060,9.25230
0.04800,11.20100,5.70070,9.24800
0.05000,11.20100,5.70070,9.24370
0.05200,11.20100,5.70080,9.23910
0.05400,11.20100,5.70090,9.23440
0.05600,11.20100,5.70090,9.22950
0.05800,11.20100,5.70100,9.22450
0.06000,11.20100,5.70110,9.21930
0.06200,11.20100,5.70110,9.21400
0.06400,11.20100,5.70120,9.20850
0.06600,11.20100,5.70130,9.20280
0.06800,11.20100,5.70140,9.19710
0.07000,11.20100,5.70150,9.19120
0.07200,11.20100,5.70160,9.18510
0.07400,11.20200,5.70170,9.17890
0.07600,11.20200,5.70180,9.17250
0.07800,11.20200,5.70190,9.16600
0.08000,11.20200,5.70200,9.15940
0.08200,11.20200,5.70210,9.15260
0.08400,11.20200,5.70220,9.14570
0.08600,11.20200,5.70230,9.13870
0.08800,11.20200,5.70240,9.13150
0.09000,11.20200,5.70260,9.12420
0.09200,11.20200,5.70270,9.11680
0.09400,11.20300,5.70280,9.10920
0.09600,11.20300,5.70290,9.10150
0.09800,11.20300,5.70310,9.09380
0.10000,11.20300,5.70320,9.08580
0.10200,11.20300,5.70330,9.07780
0.10400,11.20300,5.70350,9.06960
0.10600,11.20300,5.70360,9.06130
0.10800,11.20400,5.70380,9.05290
0.11000,11.20400,5.70390,9.04440
0.11200,11.20400,5.70410,9.03570
0.11400,11.20400,5.70420,9.02700
0.11600,11.20400,5.70440,9.01810
0.11800,11.20400,5.70450,9.00910
0.12000,11.20400,5.70470,9.00000
0.12200,11.20500,5.70490,8.99080
0.12400,11.20500,5.70500,8.98150
0.12600,11.20500,5.70520,8.97210
0.12800,11.20500,5.70540,8.96260
0.13000,11.20500,5.70560,8.95290
0.13200,11.20500,5.70570,8.94330
0.13400,11.20600,5.70590,8.93350
0.13600,11.20600,5.70610,8.92360
