t,x,y,z
0.00400,11.80000,5.70000,8.70000
0.00600,11.80000,5.70000,8.69960
0.00800,11.80000,5.70000,8.69910
0.01000,11.80000,5.70000,8.69840
0.01200,11.80000,5.70000,8.69740
0.01400,11.80000,5.70000,8.69630
0.01600,11.80000,5.69990,8.69490
0.01800,11.80000,5.69990,8.69330
0.02000,11.80000,5.69990,8.69160
0.02200,11.80000,5.69990,8.68960
0.02400,11.80000,5.69980,8.68740
0.02600,11.80000,5.69980,8.68500
0.02800,11.80000,5.69970,8.68250
0.03000,11.80100,5.69960,8.67970
0.03200,11.80100,5.69960,8.67680
0.03400,11.80100,5.69950,8.67370
0.03600,11.80100,5.69950,8.67040
0.03800,11.80100,5.69940,8.66690
0.04000,11.80100,5.69930,8.66330
0.04200,11.80100,5.69930,8.65940
0.04400,11.80100,5.69920,8.65540
0.04600,11.80100,5.69910,8.65120
0.04800,11.80100,5.69900,8.64690
0.05000,11.80100,5.69890,8.64240
0.05200,11.80200,5.69880,8.63770
0.05400,11.80200,5.69870,8.63280
0.05600,11.80200,5.69860,8.62770
0.05800,11.80200,5.69850,8.62250
0.06000,11.80200,5.69840,8.61720
0.06200,11.80200,5.69840,8.61170
0.06400,11.80200,5.69830,8.60600
0.06600,11.80200,5.69810,8.60010
0.06800,11.80200,5.69800,8.59410
0.07000,11.80300,5.69790,8.58800
0.07200,11.80300,5.69780,8.58160
0.07400,11.80300,5.69770,8.57510
0.07600,11.80300,5.69760,8.56850
0.07800,11.80300,5.69750,8.56170
0.08000,11.80300,5.69740,8.55470
0.08200,11.80300,5.69730,8.54770
0.08400,11.80400,5.69720,8.54040
0.08600,11.80400,5.69700,8.53300
0.08800,11.80400,5.69690,8.52550
0.09000,11.80400,5.69680,8.51770
0.09200,11.80400,5.69670,8.50990
0.09400,11.80400,5.69660,8.50180
0.09600,11.80400,5.69640,8.49370
0.09800,11.80400,5.69630,8.48540
0.10000,11.80500,5.69620,8.47700
0.10200,11.80500,5.69610,8.46840
0.10400,11.80500,5.69590,8.45970
0.10600,11.80500,5.69580,8.45080
0.10800,11.80500,5.69560,8.44190
0.11000,11.80500,5.69550,8.43270
0.11200,11.80500,5.69540,8.42350
0.11400,11.80600,5.69520,8.41410
0.11600,11.80600,5.69510,8.40460
0.11800,11.80600,5.69490,8.39500
0.12000,11.80600,5.69480,8.38530
0.12200,11.80600,5.69460,8.37540
0.12400,11.80600,5.69450,8.36540
0.12600,11.80700,5.69430,8.35530
0.12800,11.80700,5.69420,8.34510
0.13000,11.80700,5.69400,8.33480
0.13200,11.80700,5.69390,8.32430
0.13400,11.80700,5.69370,8.31380
0.13600,11.80700,5.69350,8.30310
0.13800,11.80800,5.69340,8.29230
0.14000,11.80800,5.69320,8.28140
0.14200,11.80800,5.69310,8.27040
0.14400,11.80800,5.69290,8.25930
0.14600,11.80800,5.69280,8.24810
0.14800,11.80900,5.69260,8.23680
0.15000,11.80900,5.69240,8.22530
0.15200,11.80900,5.69230,8.21380
0.15400,11.80900,5.69210,8.20220
0.15600,11.80900,5.69190,8.19050
0.15800,11.80900,5.69170,8.17870
0.16000,11.81000,5.69160,8.16680
0.16200,11.81000,5.69140,8.15480
0.16400,11.81000,5.69120,8.14270
0.16600,11.81000,5.69100,8.13050
0.16800,11.81100,5.69080,8.11830
0.17000,11.81100,5.69060,8.10600
0.17200,11.81100,5.69050,8.09360
0.17400,11.81100,5.69030,8.08110
0.17600,11.81100,5.69010,8.06850
0.17800,11.81200,5.68990,8.05580
0.18000,11.81200,5.68970,8.04320
0.18200,11.81200,5.68950,8.03040
0.18400,11.81200,5.68930,8.01750
0.18600,11.81200,5.68910,8.00460
0.18800,11.81300,5.68890,7.99160
0.19000,11.81300,5.68870,7.97850
0.19200,11.81300,5.68850,7.96540
0.19400,11.81300,5.68820,7.95220
0.19600,11.81400,5.68800,7.93900
0.19800,11.81400,5.68780,7.92560
0.20000,11.81400,5.68760,7.91220
0.20200,11.81400,5.68740,7.89870
0.20400,11.81500,5.68710,7.88520
0.20600,11.81500,5.68690,7.87150
0.20800,11.81500,5.68670,7.85780
0.21000,11.81500,5.68640,7.84400
0.21200,11.81600,5.68620,7.83020
0.21400,11.81600,5.68590,7.81620
0.21600,11.81600,5.68570,7.80230
0.21800,11.81600,5.68540,7.78820
0.22000,11.81700,5.68510,7.77410
0.22200,11.81700,5.68480,7.75990
0.22400,11.81700,5.68460,7.74570
0.22600,11.81800,5.68430,7.73140
0.22800,11.81800,5.68400,7.71710
0.23000,11.81800,5.68360,7.70270
0.23200,11.81900,5.68330,7.68830
0.23400,11.81900,5.68300,7.67390
0.23600,11.81900,5.68260,7.65940
0.23800,11.82000,5.68230,7.64490
0.24000,11.82000,5.68190,7.63030
0.24200,11.82100,5.68150,7.61570
0.24400,11.82100,5.68110,7.60100
0.24600,11.82100,5.68080,7.58630
0.24800,11.82200,5.68040,7.57150
0.25000,11.82200,5.68000,7.55670
0.25200,11.82300,5.67950,7.54180
0.25400,11.82300,5.67910,7.52690
0.25600,11.82400,5.67870,7.51200
0.25800,11.82400,5.67820,7.49690
0.26000,11.82500,5.67780,7.48190
0.26200,11.82500,5.67730,7.46690
0.26400,11.82600,5.67680,7.45160
0.26600,11.82600,5.67620,7.43640
0.26800,11.82700,5.67570,7.42130
0.27000,11.82700,5.67520,7.40600
0.27200,11.82800,5.67460,7.39060
0.27400,11.82900,5.67400,7.37530
0.27600,11.82900,5.67350,7.36000
0.27800,11.83000,5.67290,7.34450
0.28000,11.83100,5.67220,7.32900
0.28200,11.83100,5.67170,7.31360
0.28400,11.83200,5.67100,7.29800
0.28600,11.83200,5.67040,7.28250
0.28800,11.83300,5.66970,7.26690
0.29000,11.83400,5.66910,7.25130
0.29200,11.83400,5.66840,7.23570
0.29400,11.83500,5.66780,7.22000
0.29600,11.83600,5.66710,7.20430
0.29800,11.83700,5.66640,7.18860
0.30000,11.83700,5.66570,7.17290
0.30200,11.83800,5.66500,7.15710
0.30400,11.83900,5.66430,7.14140
0.30600,11.83900,5.66350,7.12560
0.30800,11.84000,5.66280,7.10980
0.31000,11.84100,5.66200,7.09400
0.31200,11.84200,5.66120,7.07820
0.31400,11.84300,5.66040,7.06240
0.31600,11.84300,5.65960,7.04660
0.31800,11.84400,5.65870,7.03080
0.32000,11.84500,5.65790,7.01490
0.32200,11.84600,5.65700,6.99910
0.32400,11.84700,5.65610,6.98320
0.32600,11.84700,5.65520,6.96740
0.32800,11.84800,5.65430,6.95150
0.33000,11.84900,5.65330,6.93580
0.33200,11.85000,5.65240,6.92000
0.33400,11.85100,5.65140,6.90420
0.33600,11.85200,5.65050,6.88850
0.33800,11.85300,5.64950,6.87270
