t,x,y,z
0.00800,11.80000,6.30000,8.70000
0.01200,11.80000,6.30000,8.69860
0.01600,11.80000,6.30010,8.69680
0.02000,11.80000,6.30010,8.69420
0.02400,11.80000,6.30020,8.69130
0.02800,11.80000,6.30040,8.68770
0.03200,11.80000,6.30050,8.68360
0.03600,11.80100,6.30070,8.67910
0.04000,11.80100,6.30080,8.67420
0.04400,11.80100,6.30100,8.66880
0.04800,11.80100,6.30120,8.66310
0.05200,11.80100,6.30140,8.65700
0.05600,11.80200,6.30160,8.65060
0.06000,11.80200,6.30190,8.64380
0.06400,11.80200,6.30210,8.63670
0.06800,11.80200,6.30240,8.62930
0.07200,11.80300,6.30270,8.62160
0.07600,11.80300,6.30300,8.61360
0.08000,11.80300,6.30330,8.60520
0.08400,11.80300,6.30370,8.59660
0.08800,11.80400,6.30410,8.58770
0.09200,11.80400,6.30440,8.57850
0.09600,11.80500,6.30480,8.56910
0.10000,11.80500,6.30530,8.55940
0.10400,11.80500,6.30570,8.54950
0.10800,11.80600,6.30620,8.53930
0.11200,11.80600,6.30670,8.52890
0.11600,11.80700,6.30710,8.51830
0.12000,11.80700,6.30770,8.50740
0.12400,11.80800,6.30820,8.49630
0.12800,11.80800,6.30880,8.48490
0.13200,11.80900,6.30940,8.47340
0.13600,11.81000,6.31000,8.46170
0.14000,11.81000,6.31070,8.44970
0.14400,11.81100,6.31140,8.43770
0.14800,11.81200,6.31210,8.42540
0.15200,11.81200,6.31280,8.41290
0.15600,11.81300,6.31350,8.40020
0.16000,11.81400,6.31430,8.38730
0.16400,11.81500,6.31510,8.37420
0.16800,11.81500,6.31590,8.36090
0.17200,11.81600,6.31680,8.34740
0.17600,11.81700,6.31770,8.33390
0.18000,11.81800,6.31860,8.32020
0.18400,11.81900,6.31960,8.30640
0.18800,11.82000,6.32050,8.29240
0.19200,11.82100,6.32150,8.27820
0.19600,11.82200,6.32260,8.26400
0.20000,11.82300,6.32360,8.24950
0.20400,11.82400,6.32470,8.23490
0.20800,11.82500,6.32580,8.22030
0.21200,11.82600,6.32700,8.20550
0.21600,11.82700,6.32810,8.19050
0.22000,11.82900,6.32940,8.17540
0.22400,11.83000,6.33060,8.16040
0.22800,11.83100,6.33190,8.14510
0.23200,11.83200,6.33320,8.12980
0.23600,11.83400,6.33460,8.11440
0.24000,11.83500,6.33590,8.09890
0.24400,11.83600,6.33730,8.08330
0.24800,11.83800,6.33880,8.06760
0.25200,11.83900,6.34020,8.05190
0.25600,11.84100,6.34170,8.03620
0.26000,11.84200,6.34320,8.02030
0.26400,11.84400,6.34480,8.00450
0.26800,11.84500,6.34630,7.98860
0.27200,11.84700,6.34790,7.97270
0.27600,11.84800,6.34960,7.95670
0.28000,11.85000,6.35120,7.94070
0.28400,11.85100,6.35290,7.92470
0.28800,11.85300,6.35460,7.90860
0.29200,11.85500,6.35640,7.89240
0.29600,11.85700,6.35810,7.87610
0.30000,11.85800,6.35990,7.85970
0.30400,11.86000,6.36180,7.84320
0.30800,11.86200,6.36360,7.82660
0.31200,11.86400,6.36560,7.80990
0.31600,11.86600,6.36750,7.79300
0.32000,11.86800,6.36950,7.77620
0.32400,11.87000,6.37150,7.75920
0.32800,11.87200,6.37350,7.74210
0.33200,11.87400,6.37560,7.72490
0.33600,11.87600,6.37770,7.70770
0.34000,11.87800,6.37980,7.69030
0.34400,11.88000,6.38200,7.67300
0.34800,11.88200,6.38410,7.65550
0.35200,11.88400,6.38630,7.63790
0.35600,11.88600,6.38860,7.62030
0.36000,11.88800,6.39080,7.60270
0.36400,11.89100,6.39310,7.58510
0.36800,11.89300,6.39550,7.56740
0.37200,11.89500,6.39780,7.54960
0.37600,11.89700,6.40020,7.53200
0.38000,11.90000,6.40260,7.51420
0.38400,11.90200,6.40510,7.49630
0.38800,11.90500,6.40760,7.47850
0.39200,11.90700,6.41010,7.46040
0.39600,11.91000,6.41260,7.44220
0.40000,11.91200,6.41520,7.42390
0.40400,11.91500,6.41780,7.40550
0.40800,11.91700,6.42050,7.38680
0.41200,11.92000,6.42320,7.36800
0.41600,11.92200,6.42590,7.34920
0.42000,11.92500,6.42870,7.33010
0.42400,11.92800,6.43150,7.31110
0.42800,11.93100,6.43430,7.29190
0.43200,11.93300,6.43730,7.27270
0.43600,11.93600,6.44010,7.25350
0.44000,11.93900,6.44310,7.23420
0.44400,11.94200,6.44610,7.21500
0.44800,11.94500,6.44910,7.19570
0.45200,11.94800,6.45210,7.17670
0.45600,11.95100,6.45510,7.15740
0.46000,11.95400,6.45830,7.13830
0.46400,11.95700,6.46130,7.11900
0.46800,11.95900,6.46450,7.09980
0.47200,11.96200,6.46760,7.08050
0.47600,11.96500,6.47080,7.06110
0.48000,11.96800,6.47390,7.04170
0.48400,11.97100,6.47720,7.02240
0.48800,11.97400,6.48040,7.00320
0.49200,11.97700,6.48360,6.98390
0.49600,11.98000,6.48690,6.96480
0.50000,11.98300,6.49000,6.94570
0.50400,11.98600,6.49320,6.92710
0.50800,11.98800,6.49610,6.90920
0.51200,11.99000,6.49860,6.89290
0.51600,11.99200,6.50050,6.87850
0.52000,11.99200,6.50150,6.86640
0.52400,11.99100,6.50180,6.85610
0.52800,11.99000,6.50140,6.84760
0.53200,11.98800,6.50030,6.84000
0.53600,11.98500,6.49860,6.83330
0.54000,11.98100,6.49650,6.82690
0.54400,11.97700,6.49390,6.82120
0.54800,11.97300,6.49090,6.81550
0.55200,11.96800,6.48780,6.81050
0.55600,11.96300,6.48430,6.80560
0.56000,11.95800,6.48080,6.80140
0.56400,11.95200,6.47700,6.79720
0.56800,11.94600,6.47320,6.79390
0.57200,11.94000,6.46940,6.79030
0.57600,11.93400,6.46540,6.78730
0.58000,11.92700,6.46150,6.78410
0.58400,11.92100,6.45730,6.78120
0.58800,11.91400,6.45310,6.77810
0.59200,11.90700,6.44880,6.77540
0.59600,11.90000,6.44450,6.77240
0.60000,11.89300,6.43990,6.76970
0.60400,11.88600,6.43530,6.76660
0.60800,11.87900,6.43060,6.76380
0.61200,11.87100,6.42600,6.76050
0.61600,11.86400,6.42120,6.75750
0.62000,11.85700,6.41650,6.75430
0.62400,11.84900,6.41170,6.75130
0.62800,11.84200,6.40690,6.74790
0.63200,11.83400,6.40180,6.74470
0.63600,11.82700,6.39680,6.74110
0.64000,11.81900,6.39160,6.73780
0.64400,11.81200,6.38630,6.73400
0.64800,11.80500,6.38080,6.73040
0.65200,11.79700,6.37530,6.72650
0.65600,11.79000,6.36970,6.72260
0.66000,11.78200,6.36410,6.71860
0.66400,11.77500,6.35840,6.71440
0.66800,11.76800,6.35260,6.71000
0.67200,11.76100,6.34680,6.70550
0.67600,11.75300,6.34090,6.70070
0.68000,11.74600,6.33510,6.69580
0.68400,11.73900,6.32920,6.69100
0.68800,11.73200,6.32330,6.68590
0.69200,11.72400,6.31740,6.68060
0.69600,11.71700,6.31140,6.67500
0.70000,11.71000,6.30530,6.66940
0.70400,11.70300,6.29910,6.66380
0.70800,11.69600,6.29290,6.65800
0.71200,11.68900,6.28660,6.65210
0.71600,11.68200,6.28020,6.64610
0.72000,11.67500,6.27370,6.64000
0.72400,11.66900,6.26710,6.63380
0.72800,11.66200,6.26040,6.62760
0.73200,11.65600,6.25350,6.62140
0.73600,11.65000,6.24640,6.61510
0.74000,11.64400,6.23920,6.60880
0.74400,11.63800,6.23180,6.60230
0.74800,11.63200,6.22430,6.59570
0.75200,11.62600,6.21670,6.58900
0.75600,11.62000,6.20890,6.58240
0.76000,11.61500,6.20100,6.57560
0.76400,11.60900,6.19300,6.56890
0.76800,11.60400,6.18490,6.56220
0.77200,11.59800,6.17670,6.55530
0.77600,11.59300,6.16850,6.54840
0.78000,11.58700,6.16020,6.54150
0.78400,11.58200,6.15180,6.53450
0.78800,11.57600,6.14350,6.52740
0.79200,11.57100,6.13500,6.52030
0.79600,11.56600,6.12640,6.51310
0.80000,11.56000,6.11790,6.50590
0.80400,11.55500,6.10930,6.49870
0.80800,11.55000,6.10070,6.49140
0.81200,11.54500,6.09200,6.48410
0.81600,11.53900,6.08330,6.47680
0.82000,11.53400,6.07450,6.46940
0.82400,11.52900,6.06570,6.46200
0.82800,11.52400,6.05690,6.45460
0.83200,11.51900,6.04790,6.44710
0.83600,11.51400,6.03900,6.43940
0.84000,11.50900,6.03000,6.43180
0.84400,11.50400,6.02100,6.42400
0.84800,11.49900,6.01200,6.41620
