t,x,y,z
0.00800,11.20000,6.30000,9.30000
0.01200,11.20000,6.30000,9.29860
0.01600,11.20000,6.30000,9.29680
0.02000,11.20000,6.30000,9.29440
0.02400,11.20000,6.29990,9.29140
0.02800,11.20000,6.29990,9.28790
0.03200,11.20000,6.29990,9.28400
0.03600,11.20000,6.29990,9.27950
0.04000,11.20000,6.29980,9.27470
0.04400,11.20100,6.29970,9.26950
0.04800,11.20100,6.29960,9.26390
0.05200,11.20100,6.29950,9.25790
0.05600,11.20100,6.29940,9.25160
0.06000,11.20100,6.29930,9.24510
0.06400,11.20100,6.29920,9.23810
0.06800,11.20100,6.29900,9.23090
0.07200,11.20200,6.29890,9.22330
0.07600,11.20200,6.29870,9.21550
0.08000,11.20200,6.29860,9.20740
0.08400,11.20200,6.29840,9.19900
0.08800,11.20200,6.29820,9.19040
0.09200,11.20300,6.29800,9.18150
0.09600,11.20300,6.29780,9.17230
0.10000,11.20300,6.29760,9.16290
0.10400,11.20300,6.29740,9.15330
0.10800,11.20300,6.29720,9.14340
0.11200,11.20400,6.29710,9.13330
0.11600,11.20400,6.29690,9.12290
0.12000,11.20400,6.29670,9.11230
0.12400,11.20400,6.29650,9.10150
0.12800,11.20500,6.29630,9.09050
0.13200,11.20500,6.29620,9.07930
0.13600,11.20500,6.29600,9.06780
0.14000,11.20500,6.29580,9.05620
0.14400,11.20500,6.29560,9.04430
0.14800,11.20600,6.29550,9.03230
0.15200,11.20600,6.29540,9.02010
0.15600,11.20600,6.29520,9.00770
0.16000,11.20600,6.29510,8.99500
0.16400,11.20600,6.29500,8.98230
0.16800,11.20600,6.29490,8.96930
0.17200,11.20600,6.29470,8.95610
0.17600,11.20700,6.29470,8.94270
0.18000,11.20700,6.29460,8.92920
0.18400,11.20700,6.29450,8.91550
0.18800,11.20700,6.29450,8.90160
0.19200,11.20700,6.29450,8.88760
0.19600,11.20700,6.29450,8.87340
0.20000,11.20700,6.29450,8.85900
0.20400,11.20700,6.29450,8.84450
0.20800,11.20700,6.29450,8.82980
0.21200,11.20700,6.29460,8.81490
0.21600,11.20700,6.29470,8.79990
0.22000,11.20700,6.29480,8.78470
0.22400,11.20700,6.29490,8.76940
0.22800,11.20700,6.29500,8.75390
0.23200,11.20700,6.29520,8.73830
0.23600,11.20600,6.29540,8.72250
0.24000,11.20600,6.29560,8.70650
0.24400,11.20600,6.29570,8.69040
0.24800,11.20600,6.29600,8.67420
0.25200,11.20600,6.29620,8.65780
0.25600,11.20600,6.29650,8.64130
0.26000,11.20500,6.29680,8.62470
0.26400,11.20500,6.29720,8.60790
0.26800,11.20500,6.29750,8.59110
0.27200,11.20400,6.29790,8.57400
0.27600,11.20400,6.29830,8.55690
0.28000,11.20400,6.29870,8.53970
0.28400,11.20300,6.29920,8.52230
0.28800,11.20300,6.29960,8.50490
0.29200,11.20200,6.30010,8.48730
0.29600,11.20200,6.30070,8.46960
0.30000,11.20200,6.30120,8.45170
0.30400,11.20100,6.30180,8.43390
0.30800,11.20000,6.30250,8.41580
0.31200,11.20000,6.30310,8.39770
0.31600,11.19900,6.30380,8.37950
0.32000,11.19900,6.30450,8.36110
0.32400,11.19800,6.30520,8.34270
0.32800,11.19700,6.30600,8.32410
0.33200,11.19700,6.30680,8.30540
0.33600,11.19600,6.30770,8.28670
0.34000,11.19500,6.30850,8.26770
0.34400,11.19400,6.30940,8.24870
0.34800,11.19300,6.31040,8.22960
0.35200,11.19200,6.31140,8.21030
0.35600,11.19100,6.31240,8.19090
0.36000,11.19000,6.31340,8.17150
0.36400,11.18900,6.31450,8.15190
0.36800,11.18800,6.31570,8.13220
0.37200,11.18700,6.31690,8.11250
0.37600,11.18600,6.31810,8.09260
0.38000,11.18500,6.31940,8.07270
0.38400,11.18400,6.32060,8.05270
0.38800,11.18200,6.32200,8.03270
0.39200,11.18100,6.32330,8.01260
0.39600,11.18000,6.32470,7.99250
0.40000,11.17800,6.32620,7.97230
0.40400,11.17700,6.32770,7.95230
0.40800,11.17600,6.32920,7.93210
0.41200,11.17400,6.33070,7.91200
0.41600,11.17300,6.33230,7.89190
0.42000,11.17100,6.33400,7.87180
0.42400,11.17000,6.33560,7.85170
0.42800,11.16800,6.33730,7.83150
0.43200,11.16600,6.33900,7.81150
0.43600,11.16500,6.34070,7.79150
0.44000,11.16300,6.34250,7.77150
0.44400,11.16100,6.34420,7.75150
0.44800,11.16000,6.34600,7.73160
0.45200,11.15800,6.34790,7.71180
0.45600,11.15600,6.34970,7.69200
0.46000,11.15400,6.35170,7.67220
0.46400,11.15200,6.35360,7.65250
0.46800,11.15100,6.35560,7.63290
0.47200,11.14900,6.35750,7.61310
0.47600,11.14700,6.35950,7.59350
0.48000,11.14500,6.36160,7.57370
0.48400,11.14300,6.36360,7.55390
0.48800,11.14100,6.36570,7.53410
0.49200,11.13900,6.36780,7.51430
0.49600,11.13700,6.37000,7.49430
0.50000,11.13400,6.37210,7.47440
